,Characters,Words,AvgWordLen,UniqueWords,Sentences,AvgWordsSentence,Syllables,AvgSyllableWords,RareWordsRatio,LexicalDiversity,label
8441,520,114,3.745614035087719,42,21,5.428571428571429,121,1.0614035087719298,0.21052631578947367,0.3684210526315789,Punk Rock
6695,1781,355,4.20281690140845,93,70,5.071428571428571,443,1.247887323943662,0.09577464788732394,0.2619718309859155,Heavy Metal
11765,1938,373,4.281501340482573,219,42,8.880952380952381,449,1.2037533512064342,0.4584450402144772,0.5871313672922251,Punk Rock
9351,513,118,3.516949152542373,76,24,4.916666666666667,127,1.076271186440678,0.3898305084745763,0.6440677966101694,Punk Rock
6653,987,181,4.712707182320441,96,47,3.851063829787234,243,1.3425414364640884,0.3867403314917127,0.5303867403314917,Heavy Metal
11179,966,199,4.090452261306533,68,48,4.145833333333333,251,1.2613065326633166,0.18090452261306533,0.3417085427135678,Punk Rock
9529,587,126,3.8174603174603177,67,22,5.727272727272728,144,1.1428571428571428,0.2857142857142857,0.5317460317460317,Punk Rock
11059,786,171,3.7777777777777777,78,44,3.886363636363636,194,1.1345029239766082,0.2573099415204678,0.456140350877193,Heavy Metal
8220,655,130,4.2615384615384615,78,29,4.482758620689656,162,1.2461538461538462,0.5153846153846153,0.6,Punk Rock
7647,2596,567,3.7019400352733687,224,75,7.56,636,1.1216931216931216,0.2345679012345679,0.3950617283950617,Heavy Metal
2937,6010,1013,5.0276406712734465,396,149,6.798657718120805,1546,1.5261599210266534,0.25765054294175715,0.3909180651530109,Heavy Metal
5750,1057,227,3.8722466960352415,82,51,4.450980392156863,283,1.246696035242291,0.16299559471365638,0.3612334801762114,Punk Rock
7605,1065,239,3.5815899581589963,108,35,6.828571428571428,267,1.1171548117154813,0.3179916317991632,0.4518828451882845,Heavy Metal
12552,2312,430,4.462790697674419,277,41,10.48780487804878,508,1.181395348837209,0.5232558139534884,0.6441860465116279,Heavy Metal
3377,1032,228,3.736842105263158,90,48,4.75,241,1.0570175438596492,0.2807017543859649,0.3947368421052632,Heavy Metal
3243,610,127,4.0,71,32,3.96875,151,1.1889763779527558,0.3622047244094488,0.5590551181102362,Heavy Metal
7000,1430,289,4.117647058823529,137,55,5.254545454545455,329,1.1384083044982698,0.3044982698961938,0.4740484429065744,Punk Rock
12758,899,197,3.720812182741117,74,32,6.15625,209,1.0609137055837563,0.2588832487309645,0.3756345177664975,Heavy Metal
3260,748,168,3.5059523809523814,28,26,6.461538461538463,169,1.0059523809523812,0.07738095238095237,0.16666666666666666,Heavy Metal
5766,1323,267,4.04119850187266,74,23,11.608695652173912,311,1.1647940074906369,0.08614232209737828,0.2771535580524345,Punk Rock
5136,572,113,4.1858407079646005,73,18,6.277777777777778,139,1.2300884955752212,0.3982300884955752,0.6460176991150443,Punk Rock
9847,1503,296,4.0743243243243255,99,37,8.0,341,1.1520270270270272,0.14864864864864866,0.3344594594594595,Heavy Metal
7744,2029,434,3.8225806451612905,193,67,6.477611940298509,481,1.108294930875576,0.2557603686635945,0.4447004608294931,Heavy Metal
12913,1100,232,3.9094827586206895,109,41,5.6585365853658525,280,1.206896551724138,0.27586206896551724,0.4698275862068966,Heavy Metal
5689,1411,322,3.5062111801242235,110,41,7.853658536585367,365,1.1335403726708075,0.17391304347826084,0.3416149068322981,Punk Rock
2522,1076,236,3.766949152542373,82,49,4.816326530612245,260,1.1016949152542372,0.19491525423728812,0.3474576271186441,Heavy Metal
5335,1399,312,3.602564102564102,124,40,7.8,343,1.0993589743589745,0.2724358974358974,0.3974358974358974,Punk Rock
4656,691,151,3.6174496644295298,90,24,6.291666666666668,166,1.099337748344371,0.4437086092715232,0.5960264900662252,Soft Rock
948,1374,271,4.217712177121771,58,50,5.42,335,1.236162361623616,0.011070110701107009,0.2140221402214022,Punk Rock
11598,1356,341,3.1407624633431084,61,56,6.0892857142857135,376,1.1026392961876832,0.08504398826979473,0.17888563049853373,Soft Rock
406,1264,290,3.3517241379310345,79,47,6.170212765957447,299,1.0310344827586206,0.15172413793103448,0.2724137931034483,Soft Rock
2152,1395,280,4.207142857142856,91,63,4.4444444444444455,343,1.225,0.175,0.325,Heavy Metal
7360,691,155,3.606451612903226,79,26,5.961538461538463,162,1.0451612903225806,0.2967741935483871,0.5096774193548387,Heavy Metal
8882,820,177,3.7909604519774014,63,28,6.321428571428571,190,1.073446327683616,0.2033898305084746,0.3559322033898305,Punk Rock
10676,965,207,3.792270531400966,78,29,7.137931034482759,224,1.0821256038647342,0.2270531400966184,0.37681159420289856,Soft Rock
2239,2004,416,3.9615384615384617,154,61,6.819672131147541,469,1.1274038461538465,0.2091346153846154,0.3701923076923077,Heavy Metal
4451,771,160,3.9375,100,28,5.7142857142857135,179,1.11875,0.425,0.625,Heavy Metal
12621,747,126,5.007936507936508,67,19,6.63157894736842,195,1.5476190476190477,0.2698412698412698,0.5317460317460317,Heavy Metal
7433,1197,236,4.309322033898305,88,56,4.214285714285714,299,1.2669491525423728,0.21610169491525424,0.3728813559322034,Heavy Metal
6166,1094,252,3.452380952380953,90,30,8.4,275,1.0912698412698412,0.10714285714285714,0.35714285714285715,Heavy Metal
5680,1461,326,3.5981595092024534,81,38,8.578947368421053,376,1.1533742331288344,0.0705521472392638,0.2484662576687117,Punk Rock
1432,543,123,3.5934959349593494,65,27,4.5555555555555545,141,1.146341463414634,0.34959349593495936,0.5284552845528455,Punk Rock
8918,1649,350,3.88,110,65,5.384615384615384,413,1.18,0.14,0.3142857142857143,Punk Rock
3843,1230,268,3.705223880597015,93,34,7.882352941176472,300,1.1194029850746268,0.1828358208955224,0.34701492537313433,Punk Rock
4866,781,177,3.593220338983051,71,36,4.916666666666667,188,1.0621468926553672,0.12429378531073447,0.4011299435028249,Heavy Metal
5824,793,158,4.139240506329114,98,20,7.9,189,1.1962025316455696,0.5,0.620253164556962,Heavy Metal
1789,2074,415,4.091566265060242,231,70,5.928571428571429,468,1.1277108433734941,0.3975903614457832,0.5566265060240964,Punk Rock
9152,1695,373,3.6434316353887404,126,62,6.016129032258066,416,1.1152815013404829,0.1742627345844504,0.3378016085790885,Punk Rock
1526,716,153,3.915032679738562,41,37,4.135135135135135,174,1.1372549019607845,0.0718954248366013,0.2679738562091503,Punk Rock
9038,1130,245,3.7714285714285714,131,45,5.4444444444444455,275,1.1224489795918366,0.3469387755102041,0.5346938775510204,Soft Rock
7935,870,187,3.8716577540106947,73,41,4.560975609756096,220,1.1764705882352942,0.17647058823529413,0.3903743315508021,Heavy Metal
9772,1560,336,3.7202380952380953,131,48,7.0,373,1.1101190476190477,0.19047619047619047,0.3898809523809524,Heavy Metal
8268,1572,346,3.702312138728324,161,56,6.178571428571429,405,1.170520231213873,0.3005780346820809,0.4653179190751445,Punk Rock
10458,716,138,4.181159420289855,102,8,17.25,167,1.210144927536232,0.5942028985507246,0.7391304347826086,Punk Rock
11116,1505,325,3.775384615384616,133,47,6.914893617021277,369,1.1353846153846154,0.1753846153846154,0.4092307692307692,Punk Rock
12827,586,128,3.75,78,22,5.8181818181818175,140,1.09375,0.4140625,0.609375,Heavy Metal
12988,921,188,4.090425531914893,96,36,5.222222222222221,237,1.2606382978723405,0.35106382978723405,0.5106382978723404,Punk Rock
11671,469,98,3.887755102040817,63,15,6.533333333333332,117,1.1938775510204085,0.4387755102040816,0.6428571428571429,Punk Rock
2976,1154,273,3.3406593406593412,95,36,7.583333333333332,287,1.051282051282051,0.15384615384615385,0.347985347985348,Punk Rock
5365,1076,198,4.595959595959597,102,35,5.6571428571428575,271,1.3686868686868687,0.2929292929292929,0.5151515151515151,Heavy Metal
6899,1275,290,3.7392857142857134,93,44,6.590909090909091,315,1.0862068965517242,0.20344827586206896,0.32068965517241377,Soft Rock
6646,1018,192,4.505208333333333,91,39,4.9230769230769225,273,1.421875,0.34375,0.4739583333333333,Heavy Metal
8091,629,131,3.9007633587786263,53,14,9.357142857142858,153,1.16793893129771,0.2748091603053435,0.4045801526717557,Punk Rock
8797,763,170,3.7,66,37,4.594594594594595,177,1.0411764705882354,0.22941176470588234,0.3882352941176471,Heavy Metal
6189,1540,330,3.8090909090909086,154,49,6.7346938775510194,372,1.1272727272727272,0.29696969696969705,0.4666666666666667,Heavy Metal
7700,2754,572,3.9213286713286712,230,68,8.411764705882353,658,1.1503496503496504,0.25,0.4020979020979021,Heavy Metal
5851,1336,278,3.974820143884892,115,47,5.914893617021277,305,1.0971223021582734,0.2733812949640288,0.4136690647482014,Heavy Metal
8912,1467,342,3.4122807017543866,76,42,8.142857142857142,361,1.0555555555555556,0.07894736842105263,0.2222222222222222,Punk Rock
3504,806,180,3.644444444444445,74,30,6.0,204,1.1333333333333333,0.19444444444444445,0.4111111111111111,Heavy Metal
